fname,label
clip_000044442.wav,no
clip_0000adecb.wav,unknown
clip_0000d4322.wav,go
clip_0000fb6fe.wav,stop
clip_0001d1559.wav,unknown
clip_0002256ed.wav,unknown
clip_0002a4a1f.wav,on
clip_0002d9b83.wav,unknown
clip_000373a5b.wav,go
clip_0003c7122.wav,no
clip_0003e6aee.wav,off
clip_00049951d.wav,down
clip_0004c6707.wav,go
clip_0004f8b63.wav,left
clip_00068e281.wav,no
clip_00069e9cb.wav,stop
clip_0006f7b8b.wav,yes
clip_0007ec7e6.wav,down
clip_00082a7d6.wav,go
clip_00094eb22.wav,on
clip_000962cbb.wav,unknown
clip_000a96d0a.wav,unknown
clip_000b01093.wav,right
clip_000b378f1.wav,unknown
clip_000b9514b.wav,unknown
clip_000c07b07.wav,go
clip_000c2c07b.wav,unknown
clip_000c41da7.wav,on
clip_000dcdd2c.wav,silence
clip_000ed5715.wav,down
clip_000f49605.wav,unknown
clip_000f913a0.wav,unknown
clip_000fb64da.wav,go
clip_00101f620.wav,stop
clip_0010605bd.wav,down
clip_00111068b.wav,unknown
clip_0011dcf3c.wav,down
clip_001204892.wav,left
clip_00123c913.wav,silence
clip_00127975d.wav,go
clip_001280676.wav,on
clip_00134bbac.wav,unknown
clip_00136750b.wav,unknown
clip_00139d600.wav,off
clip_0013a6ef3.wav,unknown
clip_00147bbb6.wav,unknown
clip_0014ea384.wav,yes
clip_0014ed3d5.wav,no
clip_0014f2f18.wav,no
clip_00150496f.wav,up
clip_0015cb701.wav,unknown
clip_0015fa156.wav,go
clip_00169a7f7.wav,up
clip_0017365f5.wav,go
clip_0017714af.wav,unknown
clip_00178d644.wav,go
clip_0017bb9a0.wav,on
clip_0018489ca.wav,yes
clip_001849d72.wav,up
clip_0018a2032.wav,silence
clip_0018ff8e9.wav,go
clip_001a5ce9c.wav,stop
clip_001a97e40.wav,stop
clip_001aa40fc.wav,up
clip_001aeb352.wav,on
clip_001ba5f87.wav,off
clip_001bd519d.wav,stop
clip_001c3e626.wav,left
clip_001c90db9.wav,go
