fname,label
bed/00176480_nohash_0.wav,unknown
bed/004ae714_nohash_0.wav,unknown
bed/004ae714_nohash_1.wav,-1
bed/00f0204f_nohash_0.wav,unknown
bed/00f0204f_nohash_1.wav,unknown
bed/012c8314_nohash_0.wav,unknown
bed/012c8314_nohash_1.wav,unknown
bed/0132a06d_nohash_0.wav,unknown
bed/0135f3f2_nohash_0.wav,unknown
bed/0137b3f4_nohash_0.wav,unknown
bed/014f9f65_nohash_0.wav,-1
bed/01648c51_nohash_0.wav,unknown
bed/01648c51_nohash_1.wav,unknown
bed/016e2c6d_nohash_0.wav,unknown
bed/01b4757a_nohash_0.wav,unknown
bed/01b4757a_nohash_1.wav,-1
bed/01bcfc0c_nohash_0.wav,unknown
bed/0227998e_nohash_0.wav,-1
bed/026290a7_nohash_0.wav,unknown
bed/02746d24_nohash_0.wav,unknown
bed/035de8fe_nohash_0.wav,unknown
bed/0362539c_nohash_0.wav,unknown
bed/0362539c_nohash_1.wav,-1
bed/037c445a_nohash_0.wav,unknown
bed/0397ecda_nohash_0.wav,unknown
bed/03c96658_nohash_0.wav,unknown
bed/042186b8_nohash_0.wav,unknown
bed/042ea76c_nohash_0.wav,unknown
bed/0447d7c1_nohash_0.wav,unknown
bed/0474c92a_nohash_0.wav,-1
bed/0474c92a_nohash_1.wav,unknown
bed/05739450_nohash_0.wav,-1
bed/05b2db80_nohash_0.wav,unknown
bed/05d18852_nohash_0.wav,unknown
bed/06076b6b_nohash_0.wav,unknown
bed/060cd039_nohash_0.wav,unknown
bed/060cd039_nohash_1.wav,unknown
bed/063d48cf_nohash_0.wav,unknown
bed/063d48cf_nohash_1.wav,unknown
bed/0685264e_nohash_0.wav,unknown
bed/07363607_nohash_0.wav,unknown
bed/079dfce3_nohash_0.wav,unknown
bed/079dfce3_nohash_1.wav,unknown
bed/079dfce3_nohash_2.wav,unknown
bed/07c5129e_nohash_0.wav,unknown
bed/099d52ad_nohash_0.wav,unknown
bed/09bcdc9d_nohash_0.wav,unknown
bed/09bcdc9d_nohash_1.wav,unknown
bed/09ddc105_nohash_0.wav,unknown
bed/09ddc105_nohash_1.wav,unknown
bed/0a7c2a8d_nohash_0.wav,stop
bed/0b09edd3_nohash_0.wav,-1
bed/0b56bcfe_nohash_0.wav,unknown
bed/0b77ee66_nohash_0.wav,unknown
bed/0b77ee66_nohash_1.wav,unknown
bed/0b77ee66_nohash_2.wav,unknown
bed/0bde966a_nohash_0.wav,unknown
bed/0bde966a_nohash_1.wav,unknown
bed/0c2ca723_nohash_0.wav,unknown
bed/0c2ca723_nohash_1.wav,unknown
bed/0c2d2ffa_nohash_0.wav,unknown
bed/0c2d2ffa_nohash_1.wav,-1
bed/0c40e715_nohash_0.wav,unknown
bed/0d2bcf9d_nohash_0.wav,unknown
bed/0d2bcf9d_nohash_1.wav,unknown
bed/0d393936_nohash_0.wav,unknown
bed/0e17f595_nohash_0.wav,unknown
bed/0e17f595_nohash_1.wav,unknown
bed/0e5193e6_nohash_0.wav,unknown
bed/0ea0e2f4_nohash_0.wav,unknown
bed/0ea0e2f4_nohash_1.wav,unknown
bed/0f7dc557_nohash_0.wav,unknown
bed/0ff728b5_nohash_0.wav,unknown
bed/102192fd_nohash_0.wav,unknown
bed/10467b06_nohash_0.wav,unknown
bed/105a0eea_nohash_0.wav,unknown
bed/105e72bb_nohash_0.wav,unknown
bed/10627519_nohash_0.wav,unknown
bed/106a6183_nohash_0.wav,unknown
bed/10ace7eb_nohash_0.wav,unknown
bed/10c6d873_nohash_0.wav,unknown
bed/11321027_nohash_0.wav,unknown
bed/118261a9_nohash_0.wav,unknown
bed/118261a9_nohash_1.wav,-1
bed/118261a9_nohash_2.wav,unknown
bed/11860c84_nohash_0.wav,-1
bed/11a022ba_nohash_0.wav,unknown
bed/11b1df78_nohash_0.wav,unknown
bed/11b1df78_nohash_1.wav,unknown
bed/122c5aa7_nohash_0.wav,unknown
bed/12529547_nohash_0.wav,unknown
bed/126a31d2_nohash_0.wav,unknown
bed/129c7d8d_nohash_0.wav,unknown
bed/13199b79_nohash_0.wav,unknown
bed/1365dd89_nohash_0.wav,unknown
bed/1365dd89_nohash_1.wav,unknown
bed/146d97db_nohash_0.wav,unknown
bed/14872d06_nohash_0.wav,unknown
bed/14872d06_nohash_1.wav,unknown
bed/14df1e28_nohash_0.wav,unknown
bed/1528225c_nohash_0.wav,unknown
bed/1528225c_nohash_1.wav,unknown
bed/1528225c_nohash_2.wav,unknown
bed/1528225c_nohash_3.wav,go
bed/15b0c947_nohash_0.wav,unknown
bed/15c371c7_nohash_0.wav,unknown
bed/15c563d7_nohash_0.wav,unknown
bed/15d83b54_nohash_0.wav,unknown
bed/15d83b54_nohash_1.wav,unknown
bed/15f04ff8_nohash_0.wav,unknown
bed/161fcca8_nohash_0.wav,-1
bed/161fcca8_nohash_1.wav,unknown
bed/1625acd8_nohash_0.wav,unknown
bed/1625acd8_nohash_1.wav,unknown
bed/1657c9fa_nohash_0.wav,-1
bed/16d41d07_nohash_0.wav,-1
bed/16db1582_nohash_0.wav,unknown
bed/1706c35f_nohash_0.wav,unknown
bed/1706c35f_nohash_1.wav,unknown
bed/1706c35f_nohash_2.wav,unknown
bed/1706c35f_nohash_3.wav,unknown
bed/171b56dc_nohash_0.wav,unknown
bed/172dc2b0_nohash_0.wav,unknown
bed/172dc2b0_nohash_1.wav,unknown
bed/172dc2b0_nohash_2.wav,unknown
bed/173ae793_nohash_0.wav,unknown
bed/173ae793_nohash_1.wav,-1
bed/173ce2be_nohash_0.wav,unknown
bed/173ce2be_nohash_1.wav,unknown
bed/1746d7b6_nohash_0.wav,unknown
bed/179a61b7_nohash_0.wav,unknown
bed/17c94b23_nohash_0.wav,unknown
bed/17cc40ee_nohash_0.wav,unknown
bed/17f0e206_nohash_0.wav,unknown
bed/17f0e206_nohash_1.wav,unknown
bed/187af8be_nohash_0.wav,unknown
bed/1887fe04_nohash_0.wav,unknown
bed/1890e5c3_nohash_0.wav,unknown
bed/18a1aab9_nohash_0.wav,-1
bed/18a8f03f_nohash_0.wav,unknown
bed/18a8f03f_nohash_1.wav,unknown
bed/18a8f03f_nohash_2.wav,unknown
bed/18c54a68_nohash_0.wav,unknown
bed/18c54a68_nohash_1.wav,unknown
bed/18c54a68_nohash_2.wav,unknown
bed/18c54a68_nohash_3.wav,unknown
bed/18c54a68_nohash_4.wav,unknown
bed/190821dc_nohash_0.wav,unknown
bed/1942abd7_nohash_0.wav,unknown
bed/19785c4e_nohash_0.wav,-1
bed/19785c4e_nohash_1.wav,-1
bed/19785c4e_nohash_2.wav,unknown
bed/1993db46_nohash_0.wav,unknown
bed/1995cf9e_nohash_0.wav,unknown
bed/19e246ad_nohash_0.wav,unknown
bed/19f9c115_nohash_0.wav,unknown
bed/19f9c115_nohash_1.wav,unknown
bed/19f9c115_nohash_2.wav,unknown
bed/19f9c115_nohash_3.wav,unknown
bed/1a073312_nohash_0.wav,unknown
bed/1a073312_nohash_1.wav,unknown
bed/1a4259c3_nohash_0.wav,-1
bed/1a4259c3_nohash_1.wav,-1
bed/1a5b9ca4_nohash_0.wav,unknown
bed/1a5b9ca4_nohash_1.wav,unknown
bed/1a673010_nohash_0.wav,unknown
bed/1a6eca98_nohash_0.wav,unknown
bed/1a6eca98_nohash_1.wav,unknown
bed/1a892463_nohash_0.wav,unknown
bed/1a9afd33_nohash_0.wav,unknown
bed/1a9afd33_nohash_1.wav,-1
bed/1aed7c6d_nohash_0.wav,unknown
bed/1aed7c6d_nohash_1.wav,unknown
bed/1afd49bf_nohash_0.wav,unknown
bed/1afd49bf_nohash_1.wav,unknown
bed/1b459024_nohash_0.wav,unknown
bed/1b4c9b89_nohash_0.wav,unknown
bed/1b63157b_nohash_0.wav,unknown
bed/1b755c65_nohash_0.wav,unknown
bed/1b755c65_nohash_1.wav,unknown
bed/1bb574f9_nohash_0.wav,-1
bed/1bb6ed89_nohash_0.wav,unknown
bed/1bb6ed89_nohash_1.wav,unknown
bed/1bc45db9_nohash_0.wav,unknown
bed/1c3f50ad_nohash_0.wav,unknown
bed/1c45ceb2_nohash_0.wav,unknown
bed/1c6e5447_nohash_0.wav,unknown
bed/1cb788bc_nohash_0.wav,unknown
bed/1cb788bc_nohash_1.wav,no
bed/1cbcc7a7_nohash_0.wav,unknown
bed/1d1fe0a0_nohash_0.wav,unknown
bed/1dce06e8_nohash_0.wav,unknown
bed/1df483c0_nohash_0.wav,unknown
bed/1df99a8a_nohash_0.wav,unknown
bed/1df99a8a_nohash_1.wav,unknown
bed/1e4064b8_nohash_0.wav,unknown
bed/1e4064b8_nohash_1.wav,unknown
bed/1e412fac_nohash_0.wav,unknown
bed/1ecfb537_nohash_0.wav,unknown
bed/1ed557b9_nohash_0.wav,unknown
bed/1ffd513b_nohash_0.wav,unknown
bed/20174140_nohash_0.wav,unknown
bed/2039b9c1_nohash_0.wav,unknown
bed/20d3f11f_nohash_0.wav,unknown
bed/210f3aa9_nohash_0.wav,unknown
bed/21307344_nohash_0.wav,unknown
bed/215699ff_nohash_0.wav,unknown
bed/215699ff_nohash_1.wav,unknown
bed/21832144_nohash_0.wav,unknown
bed/21cbe292_nohash_0.wav,unknown
bed/21e8c417_nohash_0.wav,unknown
bed/229978fd_nohash_0.wav,unknown
bed/2313e093_nohash_0.wav,unknown
bed/234ab0fb_nohash_0.wav,unknown
bed/238c112c_nohash_0.wav,unknown
bed/23abe1c9_nohash_0.wav,unknown
bed/23ad12d8_nohash_0.wav,unknown
bed/24b82192_nohash_0.wav,unknown
bed/24befdb3_nohash_0.wav,unknown
bed/24ed94ab_nohash_0.wav,unknown
bed/24ed94ab_nohash_1.wav,unknown
bed/25040e85_nohash_0.wav,unknown
bed/2510c044_nohash_0.wav,unknown
bed/25132942_nohash_0.wav,unknown
bed/257e17e0_nohash_0.wav,unknown
bed/2589f361_nohash_0.wav,unknown
bed/25c14394_nohash_0.wav,unknown
bed/25c14394_nohash_1.wav,unknown
bed/264f471d_nohash_0.wav,unknown
bed/26e573a9_nohash_0.wav,-1
bed/26e9ae6b_nohash_0.wav,unknown
bed/26e9ae6b_nohash_1.wav,unknown
bed/26e9ae6b_nohash_2.wav,-1
bed/270bfa52_nohash_0.wav,unknown
bed/274c008f_nohash_0.wav,-1
bed/2796ac50_nohash_0.wav,unknown
bed/27b03931_nohash_0.wav,unknown
bed/27b9a84f_nohash_0.wav,unknown
bed/283d7a53_nohash_0.wav,-1
bed/28460a60_nohash_0.wav,unknown
bed/28497c5b_nohash_0.wav,unknown
bed/28612180_nohash_0.wav,unknown
bed/28612180_nohash_1.wav,unknown
bed/28612180_nohash_2.wav,unknown
bed/28ce0c58_nohash_0.wav,unknown
bed/28e47b1a_nohash_0.wav,unknown
bed/28ed6bc9_nohash_0.wav,unknown
bed/28ef2a01_nohash_0.wav,-1
bed/29fb33da_nohash_0.wav,unknown
bed/2a0b413e_nohash_0.wav,unknown
bed/2a89ad5c_nohash_0.wav,unknown
bed/2aec99ec_nohash_0.wav,unknown
bed/2aec99ec_nohash_1.wav,unknown
bed/2b3f509b_nohash_0.wav,unknown
bed/2bd2cad5_nohash_0.wav,-1
bed/2bd2cad5_nohash_1.wav,-1
bed/2bdbe5f7_nohash_0.wav,unknown
bed/2be08ce4_nohash_0.wav,-1
bed/2be08ce4_nohash_1.wav,-1
bed/2be08ce4_nohash_2.wav,-1
bed/2bfe70ef_nohash_0.wav,unknown
bed/2c6446f7_nohash_0.wav,unknown
bed/2c6d3924_nohash_0.wav,unknown
bed/2c7c33e8_nohash_0.wav,unknown
bed/2ce7534c_nohash_0.wav,unknown
bed/2ce7534c_nohash_1.wav,unknown
bed/2cf28b70_nohash_0.wav,-1
bed/2d82a556_nohash_0.wav,unknown
bed/2d82a556_nohash_1.wav,unknown
bed/2d92f18b_nohash_0.wav,-1
bed/2d92f18b_nohash_1.wav,-1
bed/2da58b32_nohash_0.wav,unknown
bed/2dcb6848_nohash_0.wav,go
bed/2dcb6848_nohash_1.wav,unknown
bed/2f0a410b_nohash_0.wav,unknown
bed/300384f0_nohash_0.wav,unknown
bed/300384f0_nohash_1.wav,unknown
bed/30065f33_nohash_0.wav,-1
bed/30065f33_nohash_1.wav,unknown
bed/30137d34_nohash_0.wav,unknown
bed/305776dd_nohash_0.wav,unknown
bed/305776dd_nohash_1.wav,unknown
bed/305776dd_nohash_2.wav,unknown
bed/30802c5d_nohash_0.wav,unknown
bed/30a09789_nohash_0.wav,unknown
